Experiment #,Question #,Number of Answers,Start Date/Seconds After Start Date,Answer Chosen,Answer Order,Number of Characters in Each Answer,Total Experiment Time (Seconds),How Answers Ordered,IP Address [Removed],Time Mouse Scrolled Over Answer 1 (Seconds After Start Time),Time Mouse Moved Away From Answer 1 (Seconds After Start Time),Time Mouse Scrolled Over Answer 2 (Seconds After Start Time),Time Mouse Moved Away From Answer 2 (Seconds After Start Time),Time Mouse Scrolled Over Answer 3 (Seconds After Start Time),Time Mouse Moved Away From Answer 3 (Seconds After Start Time),Time Mouse Scrolled Over Answer 4 (Seconds After Start Time),Time Mouse Moved Away From Answer 4 (Seconds After Start Time),Time Mouse Scrolled Over Answer 5 (Seconds After Start Time),Time Mouse Moved Away From Answer 5 (Seconds After Start Time),Time Mouse Scrolled Over Answer 6 (Seconds After Start Time),Time Mouse Moved Away From Answer 6 (Seconds After Start Time),Time Mouse Scrolled Over Answer 7 (Seconds After Start Time),Time Mouse Moved Away From Answer 7 (Seconds After Start Time),Time Mouse Scrolled Over Answer 8 (Seconds After Start Time),Time Mouse Moved Away From Answer 8 (Seconds After Start Time),Amazon Worker ID,Score
,,,,,4,300,,,,624.719,626.3,,,626.3,627.005,522.336,527.103,576.802,579.035,,,630.918,631.367,,,,18
,,,,,6,325,,,,,,,,627.083,630.918,,,,,,,,,,,,16
,,,,,8,199,,,,,,,,,,,,,,,,,,,,,11
,,,,,5,4414,,,,,,,,,,,,,,,,,,,,,7
,,,,,3,588,,,,,,,,,,,,,,,,,,,,,5
,,,,,1,177,,,,,,,,,,,,,,,,,,,,,3
,,,,,7,426,,,,,,,,,,,,,,,,,,,,,0
,6,2,622,1,2,312,,,,663.065,684.981,646.792,647.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,46
,,,,,1,1004,,,,686.03,686.367,685.367,685.982,,,,,,,,,,,,,,23
,,,,,,,,,,686.449,686.497,,,,,,,,,,,,,,,,0
,,,,,,,,,,687.206,689.748,,,,,,,,,,,,,,,,0
,7,2,682,1,2,302,,,,772.849,772.917,771.714,772.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,91
,,,,,1,739,,,,779.261,779.334,779.839,779.95,,,,,,,,,,,,,,61
,,,,,,,,,,828.368,840.843,,,,,,,,,,,,,,,,0
,,,,,,,,,,841.159,841.663,,,,,,,,,,,,,,,,0
,,,,,,,,,,842.181,843.494,,,,,,,,,,,,,,,,0
,8,8,835,7,4,1531,,,,991.002,999.702,957.12,959.09,NA,NA,892.044,948.133,1008.69,1011.53,948.133,954.014,1002.5,1006.12,1000.28,1001.84,,24
,,,,,6,333,,,,,,959.322,991.002,,,,,,,,,,,,,,21
,,,,,2,4415,,,,,,,,,,,,,,,,,,,,,21
,,,,,1,835,,,,,,,,,,,,,,,,,,,,,16
,,,,,8,1027,,,,,,,,,,,,,,,,,,,,,5
,,,,,7,108,,,,,,,,,,,,,,,,,,,,,5
,,,,,3,105,,,,,,,,,,,,,,,,,,,,,1
,,,,,5,542,,,,,,,,,,,,,,,,,,,,,0
,9,2,1004,1,2,1394,,,,1054.13,1076.33,1037.92,1053.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,33
,,,,,1,708,,,,1079.27,1079.75,1076.33,1079.03,,,,,,,,,,,,,,13
,,,,,,,,,,1079.98,1080.45,,,,,,,,,,,,,,,,0
,,,,,,,,,,1081.25,1081.28,,,,,,,,,,,,,,,,0
,10,8,1073,1,1,1713,,,,1107.02,1138.45,1149.01,1149.56,1161.86,1173.49,1214.47,1219.43,1158.01,1161.86,1153.82,1157.4,1138.45,1138.91,1150.07,1150.13,,18
,,,,,7,238,,,,1221.61,1223.54,1227.24,1227.54,1219.43,1219.85,1228.79,1239.39,1227.93,1228.46,1219.85,1220.33,1240.12,1240.43,1151.18,1152.92,,17
,,,,,2,421,,,,1224.41,1226.81,1244.94,1245.24,1228.46,1228.79,,,,,1245.24,1245.56,,,1239.78,1240.12,,16
,,,,,8,110,,,,1240.43,1241.55,,,1239.39,1239.78,,,,,,,,,,,,14
,,,,,6,184,,,,1242.21,1242.26,,,1245.56,1245.92,,,,,,,,,,,,13
,,,,,5,179,,,,1242.89,1243.71,,,,,,,,,,,,,,,,9
,,,,,3,469,,,,1244.29,1244.94,,,,,,,,,,,,,,,,7
,,,,,4,516,,,,,,,,,,,,,,,,,,,,,5
109,1,8,0,1,1,219,255,random,,27.061,27.185,NA,NA,42.805,43.162,NA,NA,NA,NA,NA,NA,25.316,26.784,NA,NA,AUSDM3KALROGI,25
,,,,,7,229,,,,27.563,28.322,,,,,,,,,,,28.39,32.901,,,,17
,,,,,5,451,,,,36.178,36.302,,,,,,,,,,,36.007,36.14,,,,17
,,,,,4,1225,,,,,,,,,,,,,,,,36.356,36.417,,,,16
,,,,,2,203,,,,,,,,,,,,,,,,,,,,,6
,,,,,6,298,,,,,,,,,,,,,,,,,,,,,2
,,,,,8,403,,,,,,,,,,,,,,,,,,,,,1
,,,,,3,205,,,,,,,,,,,,,,,,,,,,,1
,2,8,46,6,4,204,,,,53.841,54.238,54.556,54.694,49.93,50.638,49.891,49.912,54.239,54.303,52.086,52.268,50.653,51.476,NA,NA,,23
,,,,,3,1347,,,,,,57.059,64.483,,,,,,,53.133,53.466,,,,,,17
,,,,,7,1203,,,,,,,,,,,,,,53.552,53.574,,,,,,15
,,,,,6,1265,,,,,,,,,,,,,,53.683,53.84,,,,,,6
,,,,,5,919,,,,,,,,,,,,,,,,,,,,,4
,,,,,1,753,,,,,,,,,,,,,,,,,,,,,4
,,,,,8,330,,,,,,,,,,,,,,,,,,,,,2
,,,,,2,439,,,,,,,,,,,,,,,,,,,,,0
,3,8,66,4,3,280,,,,105.328,105.343,99.356,99.62,NA,NA,102.801,102.839,105.274,105.327,NA,NA,NA,NA,105.357,105.9,,25
,,,,,7,492,,,,,,99.641,102.755,,,103.557,105.034,,,,,,,,,,18
,,,,,6,482,,,,,,105.104,105.25,,,,,,,,,,,,,,16
,,,,,4,171,,,,,,,,,,,,,,,,,,,,,14
,,,,,2,139,,,,,,,,,,,,,,,,,,,,,7
,,,,,5,260,,,,,,,,,,,,,,,,,,,,,7
,,,,,1,168,,,,,,,,,,,,,,,,,,,,,5
,,,,,8,176,,,,,,,,,,,,,,,,,,,,,2
,4,2,107,1,1,1490,,,,124.601,125.118,114.916,123.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,48
,,,,,2,149,,,,125.98,127.105,127.645,128.063,,,,,,,,,,,,,,33
,,,,,,,,,,127.121,127.286,,,,,,,,,,,,,,,,0
,5,8,129,6,6,325,,,,173.108,173.125,171.063,171.672,174.402,174.947,174.978,174.994,173.168,174.4,159.111,159.118,174.948,174.961,173.125,173.141,,23
,,,,,2,211,,,,,,173.078,173.092,,,,,,,159.279,159.403,,,,,,23
,,,,,1,177,,,,,,,,,,,,,,164.186,171.062,,,,,,20
,,,,,8,199,,,,,,,,,,,,,,171.687,173.062,,,,,,17
,,,,,5,4414,,,,,,,,,,,,,,,,,,,,,8
,,,,,3,588,,,,,,,,,,,,,,,,,,,,,7
,,,,,7,426,,,,,,,,,,,,,,,,,,,,,4
,,,,,4,300,,,,,,,,,,,,,,,,,,,,,2
,6,8,177,8,2,312,,,,194.415,194.607,179.991,180.03,195.733,195.789,195.051,195.18,NA,NA,194.609,195.05,195.181,195.732,183.383,184.239,,24
,,,,,8,301,,,,,,180.407,180.432,,,,,,,,,,,184.787,185.359,,23
,,,,,1,1004,,,,,,194.166,194.205,,,,,,,,,,,194.222,194.397,,19
,,,,,6,985,,,,,,,,,,,,,,,,,,,,,15
,,,,,4,510,,,,,,,,,,,,,,,,,,,,,7
,,,,,7,1192,,,,,,,,,,,,,,,,,,,,,6
,,,,,3,152,,,,,,,,,,,,,,,,,,,,,3
,,,,,5,30,,,,,,,,,,,,,,,,,,,,,1
,7,2,197,2,2,302,,,,214.453,214.475,215.535,215.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,93
,,,,,1,739,,,,215.225,215.481,216.044,216.724,,,,,,,,,,,,,,51
,,,,,,,,,,216.745,216.855,,,,,,,,,,,,,,,,0
,8,2,219,1,2,4415,,,,231.585,231.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,97
,,,,,1,835,,,,232.372,233.109,,,,,,,,,,,,,,,,64
,,,,,,,,,,233.214,233.338,,,,,,,,,,,,,,,,0
,9,8,236,4,3,435,,,,242.162,242.592,243.839,243.924,NA,NA,240.009,241.373,241.459,241.98,241.995,242.103,NA,NA,242.65,243.459,,23
,,,,,7,381,,,,,,,,,,241.443,241.459,,,,,,,,,,22
,,,,,4,826,,,,,,,,,,,,,,,,,,,,,22
,,,,,5,2005,,,,,,,,,,,,,,,,,,,,,20
,,,,,6,1283,,,,,,,,,,,,,,,,,,,,,17
,,,,,1,708,,,,,,,,,,,,,,,,,,,,,15
,,,,,8,1578,,,,,,,,,,,,,,,,,,,,,4
,,,,,2,1394,,,,,,,,,,,,,,,,,,,,,2
,10,8,246,8,6,184,,,,250.567,251.023,NA,NA,249.284,249.317,251.123,251.241,251.656,251.687,NA,NA,251.024,251.037,249.585,250.506,,25
,,,,,3,469,,,,,,,,,,251.279,251.62,,,,,,,,,,23
,,,,,8,110,,,,,,,,,,,,,,,,,,,,,22
,,,,,1,1713,,,,,,,,,,,,,,,,,,,,,21
,,,,,7,238,,,,,,,,,,,,,,,,,,,,,13
,,,,,2,421,,,,,,,,,,,,,,,,,,,,,9
,,,,,4,516,,,,,,,,,,,,,,,,,,,,,2
,,,,,5,179,,,,,,,,,,,,,,,,,,,,,2
110,1,2,0,1,1,219,1197,random,,41.069,42.303,34.191,34.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AVD6HMIO1HLFI,68
,,,,,2,203,,,,75.576,75.999,34.817,35.911,,,,,,,,,,,,,,24
,,,,,,,,,,77.369,82.31,37.126,37.867,,,,,,,,,,,,,,0
,,,,,,,,,,85.08,89.532,76.059,76.148,,,,,,,,,,,,,,0
,,,,,,,,,,101.89,101.974,76.845,76.905,,,,,,,,,,,,,,0
,,,,,,,,,,104.747,110.262,83.857,85.08,,,,,,,,,,,,,,0
,,,,,,,,,,,,110.383,110.512,,,,,,,,,,,,,,0
,2,8,113,2,2,439,,,,135.329,135.858,164.379,176.685,268.729,272.402,136.813,137.055,261.04,261.929,137.055,138.005,135.889,136.268,216.929,224.147,,24
,,,,,8,330,,,,263.176,264.288,210.333,216.929,289.892,289.925,275.411,275.569,274.949,275.411,245.924,261.04,261.93,262.408,244.359,245.224,,21
,,,,,6,1265,,,,267.34,268.147,224.147,225.185,,,,,,,275.585,276.061,274.354,274.809,276.127,276.178,,13
,,,,,4,204,,,,272.794,273.965,230.142,231.353,,,,,,,,,,,,,,12
,,,,,5,919,,,,,,232.423,232.56,,,,,,,,,,,,,,9
,,,,,7,1203,,,,,,241.704,243.576,,,,,,,,,,,,,,5
,,,,,1,753,,,,,,276.205,276.261,,,,,,,,,,,,,,5
,,,,,3,1347,,,,,,278.015,278.117,,,,,,,,,,,,,,2
,,,,,,,,,,,,278.447,278.576,,,,,,,,,,,,,,0
,3,2,292,1,2,139,,,,359.611,362.644,328.242,359.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,24
,,,,,1,168,,,,,,,,,,,,,,,,,,,,,13
,4,8,365,6,8,131,,,,536.903,539.322,NA,NA,485.984,490.522,491.423,498.013,539.322,540.882,368.848,371.251,371.251,373.944,NA,NA,,24
,,,,,3,466,,,,540.882,541.114,,,,,543.373,543.641,,,504.436,535.034,535.034,536.903,,,,23
,,,,,2,149,,,,,,,,,,,,,,541.939,543.369,541.129,541.939,,,,20
,,,,,4,262,,,,,,,,,,,,,,543.844,544.055,,,,,,17
,,,,,6,3146,,,,,,,,,,,,,,544.371,544.507,,,,,,16
,,,,,7,2010,,,,,,,,,,,,,,,,,,,,,11
,,,,,1,1490,,,,,,,,,,,,,,,,,,,,,2
,,,,,5,1528,,,,,,,,,,,,,,,,,,,,,2
,5,8,548,4,7,426,,,,619.653,623.824,670.222,675.894,631.249,647.482,676.092,683.411,606.574,615.886,712.906,712.971,555.899,555.915,NA,NA,,17
,,,,,8,199,,,,624.483,627.48,,,669.572,670.222,696.616,711.047,,,713.693,719.669,555.916,555.919,,,,15
,,,,,5,4414,,,,662.197,669.571,,,696.071,696.616,720.164,720.896,,,720.934,721.03,585.961,604.522,,,,12
,,,,,1,177,,,,,,,,,,,,,,,,,,,,,12
,,,,,3,588,,,,,,,,,,,,,,,,,,,,,7
,,,,,2,211,,,,,,,,,,,,,,,,,,,,,6
,,,,,4,300,,,,,,,,,,,,,,,,,,,,,4
,,,,,6,325,,,,,,,,,,,,,,,,,,,,,0
,6,8,728,6,3,152,,,,733.082,733.572,879.592,879.624,782.653,786.473,732.052,732.595,NA,NA,733.572,733.687,732.639,733.082,733.687,734.238,,22
,,,,,8,301,,,,824.046,830.703,,,851.692,852.453,809.531,810.132,,,810.132,818.624,832.121,850.965,790.066,809.531,,19
,,,,,4,510,,,,850.965,850.969,,,,,851.45,851.494,,,850.969,851.427,879.148,879.224,852.614,856.479,,15
,,,,,6,985,,,,,,,,,,856.479,863.787,,,863.787,870.014,,,,,,10
,,,,,1,1004,,,,,,,,,,,,,,874.188,878.567,,,,,,7
,,,,,5,30,,,,,,,,,,,,,,878.739,878.765,,,,,,7
,,,,,7,1192,,,,,,,,,,,,,,878.818,879.148,,,,,,7
,,,,,2,312,,,,,,,,,,,,,,,,,,,,,4
,7,2,882,1,2,302,,,,886.026,886.282,886.318,886.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,43
,,,,,1,739,,,,972.23,982.274,957.682,971.786,,,,,,,,,,,,,,10
,,,,,,,,,,984.094,984.125,982.274,984.04,,,,,,,,,,,,,,0
,,,,,,,,,,995.737,1004.08,984.176,984.207,,,,,,,,,,,,,,0
,,,,,,,,,,,,988.43,989.566,,,,,,,,,,,,,,0
,8,2,1006,1,2,4415,,,,1013.14,1013.51,1038.9,1045.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,72
,,,,,1,835,,,,1045.83,1057.03,,,,,,,,,,,,,,,,29
,,,,,,,,,,1057.05,1057.12,,,,,,,,,,,,,,,,0
,,,,,,,,,,1057.13,1057.41,,,,,,,,,,,,,,,,0
,9,8,1060,3,8,1578,,,,1064.11,1064.4,1064.03,1064.1,1063.76,1063.97,1064.84,1064.87,1064.89,1065.86,1064.4,1064.79,1063.98,1064.03,1063.54,1063.74,,23
,,,,,3,435,,,,1120.14,1124.88,1119.59,1120.11,1102.65,1108.35,1065.86,1066.16,1125.62,1126.03,1066.16,1066.55,1066.87,1067.18,1067.18,1068.46,,21
,,,,,7,381,,,,,,,,1114.74,1116.41,1125.22,1125.34,,,1124.88,1125.21,1119.49,1119.57,1079.37,1102.65,,19
,,,,,2,1394,,,,,,,,1117.03,1119.49,,,,,,,,,1108.35,1108.85,,16
,,,,,1,708,,,,,,,,,,,,,,,,,,1113.74,1114.74,,6
,,,,,6,1283,,,,,,,,,,,,,,,,,,,,,5
,,,,,4,826,,,,,,,,,,,,,,,,,,,,,3
,,,,,5,2005,,,,,,,,,,,,,,,,,,,,,2
,10,2,1129,2,1,1713,,,,1153.85,1161.54,1163.03,1173.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,40
,,,,,2,421,,,,1174.03,1175.32,1192.72,1193.03,,,,,,,,,,,,,,8
,,,,,,,,,,1176.65,1192.72,,,,,,,,,,,,,,,,0
111,1,2,0,1,1,219,361,random,,24.986,25.284,24.952,24.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AVRTFNINF1RHD,72
,,,,,2,203,,,,25.843,29.125,41.155,41.49,,,,,,,,,,,,,,22
,,,,,,,,,,33.264,33.662,43.108,43.142,,,,,,,,,,,,,,0
,,,,,,,,,,34.776,35.613,,,,,,,,,,,,,,,,0
,,,,,,,,,,41.507,41.541,,,,,,,,,,,,,,,,0
,,,,,,,,,,41.946,42.581,,,,,,,,,,,,,,,,0
,,,,,,,,,,42.807,43.074,,,,,,,,,,,,,,,,0
,2,2,45,2,1,753,,,,NA,NA,71.333,73.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,32
,,,,,2,439,,,,,,,,,,,,,,,,,,,,,13
,3,8,75,7,8,176,,,,NA,NA,NA,NA,103.714,103.799,NA,NA,NA,NA,88.765,92.652,94.993,96.165,NA,NA,,19
,,,,,6,482,,,,,,,,,,,,,,,,,,,,,17
,,,,,7,492,,,,,,,,,,,,,,,,,,,,,13
,,,,,5,260,,,,,,,,,,,,,,,,,,,,,12
,,,,,1,168,,,,,,,,,,,,,,,,,,,,,11
,,,,,2,139,,,,,,,,,,,,,,,,,,,,,7
,,,,,4,171,,,,,,,,,,,,,,,,,,,,,4
,,,,,3,280,,,,,,,,,,,,,,,,,,,,,0
,4,8,106,2,6,3146,,,,NA,NA,121.962,123.13,NA,NA,136.624,136.66,121.389,121.874,NA,NA,NA,NA,NA,NA,,22
,,,,,2,149,,,,,,,,,,,,,,,,,,,,,21
,,,,,5,1528,,,,,,,,,,,,,,,,,,,,,18
,,,,,1,1490,,,,,,,,,,,,,,,,,,,,,15
,,,,,7,2010,,,,,,,,,,,,,,,,,,,,,11
,,,,,8,131,,,,,,,,,,,,,,,,,,,,,7
,,,,,3,466,,,,,,,,,,,,,,,,,,,,,4
,,,,,4,262,,,,,,,,,,,,,,,,,,,,,2
,5,2,139,2,2,211,,,,148.671,149.584,149.618,150.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,90
,,,,,1,177,,,,,,152.255,152.642,,,,,,,,,,,,,,31
,6,2,156,2,2,312,,,,177.455,177.49,175.096,175.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,71
,,,,,1,1004,,,,,,,,,,,,,,,,,,,,,40
,7,2,180,2,2,302,,,,205.634,205.929,203.131,203.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,39
,,,,,1,739,,,,,,,,,,,,,,,,,,,,,16
,8,8,212,7,7,108,,,,NA,NA,NA,NA,NA,NA,NA,NA,218.489,218.694,232.471,232.489,218.985,219.799,NA,NA,,24
,,,,,5,542,,,,,,,,,,,,,,,,,,,,,24
,,,,,4,1531,,,,,,,,,,,,,,,,,,,,,16
,,,,,1,835,,,,,,,,,,,,,,,,,,,,,10
,,,,,3,105,,,,,,,,,,,,,,,,,,,,,10
,,,,,8,1027,,,,,,,,,,,,,,,,,,,,,8
,,,,,2,4415,,,,,,,,,,,,,,,,,,,,,5
,,,,,6,333,,,,,,,,,,,,,,,,,,,,,5
,9,2,235,2,2,1394,,,,284.073,284.337,265.367,265.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,82
,,,,,1,708,,,,,,276.299,277.305,,,,,,,,,,,,,,6
,,,,,,,,,,,,278.563,278.942,,,,,,,,,,,,,,0
,,,,,,,,,,,,280.453,281.641,,,,,,,,,,,,,,0
,10,8,287,3,1,1713,,,,NA,NA,NA,NA,351.348,352.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,23
,,,,,7,238,,,,,,,,,,,,,,,,,,,,,22
,,,,,3,469,,,,,,,,,,,,,,,,,,,,,19
,,,,,8,110,,,,,,,,,,,,,,,,,,,,,18
,,,,,2,421,,,,,,,,,,,,,,,,,,,,,15
,,,,,5,179,,,,,,,,,,,,,,,,,,,,,7
,,,,,4,516,,,,,,,,,,,,,,,,,,,,,6
,,,,,6,184,,,,,,,,,,,,,,,,,,,,,3
112,1,2,0,2,1,219,580,random,,6.234,7.158,17.089,17.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AW70IIQMDE22Y,83
,,,,,2,203,,,,7.321,16.434,23.65,25.064,,,,,,,,,,,,,,40
,,,,,,,,,,17.312,17.616,34.611,34.745,,,,,,,,,,,,,,0
,,,,,,,,,,17.649,20.234,35.237,37.256,,,,,,,,,,,,,,0
,,,,,,,,,,20.548,21.37,,,,,,,,,,,,,,,,0
,2,2,38,2,2,439,,,,57.757,58.778,56.593,56.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,73
,,,,,1,753,,,,66.396,67.884,56.881,57.757,,,,,,,,,,,,,,36
,,,,,,,,,,70.491,70.721,58.812,58.862,,,,,,,,,,,,,,0
,,,,,,,,,,,,64.411,66.396,,,,,,,,,,,,,,0
,,,,,,,,,,,,68.42,68.608,,,,,,,,,,,,,,0
,,,,,,,,,,,,69.021,69.684,,,,,,,,,,,,,,0
,,,,,,,,,,,,69.717,69.82,,,,,,,,,,,,,,0
,3,2,71,1,1,168,,,,87.142,87.856,87.039,87.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,48
,,,,,2,139,,,,114.869,115.618,115.737,115.789,,,,,,,,,,,,,,19
,,,,,,,,,,115.668,115.685,,,,,,,,,,,,,,,,0
,4,8,117,4,3,466,,,,181.047,183.538,NA,NA,136.219,140.391,173.708,174.41,185.431,186.9,140.391,157.035,174.41,176.265,NA,NA,,20
,,,,,6,3146,,,,,,,,157.052,157.761,189.635,189.835,,,158.976,168.657,186.9,189.19,,,,13
,,,,,4,262,,,,,,,,,,189.852,189.954,,,189.19,189.6,,,,,,10
,,,,,7,2010,,,,,,,,,,190.318,190.911,,,,,,,,,,8
,,,,,2,149,,,,,,,,,,,,,,,,,,,,,7
,,,,,1,1490,,,,,,,,,,,,,,,,,,,,,4
,,,,,8,131,,,,,,,,,,,,,,,,,,,,,2
,,,,,5,1528,,,,,,,,,,,,,,,,,,,,,0
,5,8,192,8,3,588,,,,NA,NA,218.183,224.504,207.165,218.183,NA,NA,239.92,243.065,235.121,236.609,224.504,226.15,231.878,232.764,,18
,,,,,2,211,,,,,,259.22,259.601,243.715,257.857,,,269.484,270.066,,,227.095,231.877,268.315,269.468,,16
,,,,,7,426,,,,,,259.67,261.824,,,,,,,,,261.824,263.679,,,,14
,,,,,8,199,,,,,,,,,,,,,,,,,,,,,11
,,,,,6,325,,,,,,,,,,,,,,,,,,,,,8
,,,,,4,300,,,,,,,,,,,,,,,,,,,,,7
,,,,,1,177,,,,,,,,,,,,,,,,,,,,,6
,,,,,5,4414,,,,,,,,,,,,,,,,,,,,,3
,6,8,271,1,7,1192,,,,301.384,304.077,341.094,342.983,306.166,308.708,287.807,288.15,288.185,288.202,308.708,309.944,279.598,285.261,317.871,319.723,,25
,,,,,5,30,,,,319.723,321.685,345.811,346.865,,,291.87,295.147,,,310.58,313.49,285.6,287.038,328.103,328.815,,24
,,,,,4,510,,,,324.254,325.679,,,,,,,,,325.679,325.945,357.147,357.564,329.205,330.36,,24
,,,,,2,312,,,,339.238,340.276,,,,,,,,,327.316,328.103,,,338.721,339.238,,19
,,,,,1,1004,,,,343.085,344.348,,,,,,,,,331.129,338.721,,,,,,17
,,,,,8,301,,,,,,,,,,,,,,,,,,,,,15
,,,,,3,152,,,,,,,,,,,,,,,,,,,,,15
,,,,,6,985,,,,,,,,,,,,,,,,,,,,,2
,7,8,358,3,3,734,,,,432.072,432.733,429.278,432.071,450.345,450.665,407.392,413.792,413.793,427.405,384.843,389.006,427.405,428.163,389.006,407.392,,24
,,,,,6,860,,,,446.889,449.009,,,451.133,451.149,,,,,,,428.18,429.278,,,,22
,,,,,8,2848,,,,454.124,454.475,,,451.624,454.124,,,,,,,,,,,,18
,,,,,4,1012,,,,,,,,,,,,,,,,,,,,,17
,,,,,5,532,,,,,,,,,,,,,,,,,,,,,17
,,,,,7,195,,,,,,,,,,,,,,,,,,,,,6
,,,,,2,302,,,,,,,,,,,,,,,,,,,,,3
,,,,,1,739,,,,,,,,,,,,,,,,,,,,,0
,8,8,455,5,7,108,,,,NA,NA,NA,NA,508.381,508.399,NA,NA,505.549,506.269,NA,NA,NA,NA,NA,NA,,20
,,,,,6,333,,,,,,,,,,,,506.378,506.413,,,,,,,,16
,,,,,8,1027,,,,,,,,,,,,506.935,508.313,,,,,,,,11
,,,,,1,835,,,,,,,,,,,,,,,,,,,,,8
,,,,,4,1531,,,,,,,,,,,,,,,,,,,,,3
,,,,,2,4415,,,,,,,,,,,,,,,,,,,,,2
,,,,,5,542,,,,,,,,,,,,,,,,,,,,,0
,,,,,3,105,,,,,,,,,,,,,,,,,,,,,0
,9,2,509,2,1,708,,,,517.031,525.755,525.756,526.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,77
,,,,,2,1394,,,,,,527.723,529.747,,,,,,,,,,,,,,72
,10,8,530,4,6,184,,,,573.09,575.95,554.129,557.876,559.045,562.69,562.69,563.184,557.876,559.045,541.59,542.13,546.005,552.34,NA,NA,,25
,,,,,7,238,,,,,,,,,,565.365,573.09,,,543.396,543.859,,,,,,22
,,,,,2,421,,,,,,,,,,577.066,578.509,,,,,,,,,,20
,,,,,5,179,,,,,,,,,,,,,,,,,,,,,18
,,,,,3,469,,,,,,,,,,,,,,,,,,,,,16
,,,,,4,516,,,,,,,,,,,,,,,,,,,,,14
,,,,,8,110,,,,,,,,,,,,,,,,,,,,,6
,,,,,1,1713,,,,,,,,,,,,,,,,,,,,,2
113,1,8,0,3,4,1225,340,random,,NA,NA,NA,NA,16,16.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZEGZ5ZVM6P5A,21
,,,,,6,298,,,,,,,,16.301,16.413,,,,,,,,,,,,19
,,,,,5,451,,,,,,,,16.862,17.335,,,,,,,,,,,,18
,,,,,3,205,,,,,,,,,,,,,,,,,,,,,10
,,,,,1,219,,,,,,,,,,,,,,,,,,,,,6
,,,,,7,229,,,,,,,,,,,,,,,,,,,,,6
,,,,,2,203,,,,,,,,,,,,,,,,,,,,,5
,,,,,8,403,,,,,,,,,,,,,,,,,,,,,4
,2,2,22,1,1,753,,,,28.494,28.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,69
,,,,,2,439,,,,30.811,31.247,,,,,,,,,,,,,,,,48
,,,,,,,,,,31.252,31.672,,,,,,,,,,,,,,,,0
,3,2,42,2,1,168,,,,NA,NA,80.198,82.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,22
,,,,,2,139,,,,,,,,,,,,,,,,,,,,,15
,4,2,85,2,1,1490,,,,NA,NA,91.25,92.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,76
,,,,,2,149,,,,,,92.639,92.668,,,,,,,,,,,,,,50
,5,2,95,2,2,211,,,,102.539,102.557,100.791,101.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,26
,,,,,1,177,,,,,,102.138,102.528,,,,,,,,,,,,,,4
,6,8,106,4,1,1004,,,,212.868,213.251,NA,NA,NA,NA,213.275,213.784,NA,NA,NA,NA,NA,NA,NA,NA,,20
,,,,,4,510,,,,215.555,215.573,,,,,214.581,215.525,,,,,,,,,,16
,,,,,5,30,,,,,,,,,,,,,,,,,,,,,13
,,,,,7,1192,,,,,,,,,,,,,,,,,,,,,10
,,,,,2,312,,,,,,,,,,,,,,,,,,,,,7
,,,,,3,152,,,,,,,,,,,,,,,,,,,,,7
,,,,,6,985,,,,,,,,,,,,,,,,,,,,,2
,,,,,8,301,,,,,,,,,,,,,,,,,,,,,2
,7,8,220,3,8,2848,,,,NA,NA,NA,NA,225.22,225.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,25
,,,,,3,734,,,,,,,,226.093,226.537,,,,,,,,,,,,24
